N	K	CI	Weighting	Result
10000	40	AM	WIS	2.7080814896884853e-05
10000	50	CH	IS	0.2886485203813273
10000	50	CH	WIS	0.9998652107611653
10000	50	AM	IS	0.0019505628533556276
10000	50	AM	WIS	3.382574407417849e-05
10000	60	CH	IS	0.3460344353816713
10000	60	CH	WIS	0.9998988214974613
10000	60	AM	IS	0.002338929373368001
10000	60	AM	WIS	4.0560613699169856e-05
10000	70	CH	IS	0.403306550015302
10000	70	CH	WIS	0.9999245551176029
10000	70	AM	IS	0.00272671724937763
10000	70	AM	WIS	4.7285448751988035e-05
10000	80	CH	IS	0.4604652027154506
10000	80	CH	WIS	0.9999453618667364
10000	80	AM	IS	0.0031139279168773933
10000	80	AM	WIS	5.4000274126164705e-05
10000	90	CH	IS	0.5175107305743301
10000	90	CH	WIS	0.9999628809002362
10000	90	AM	IS	0.003500562806379332
10000	90	AM	WIS	6.0705114628967216e-05
10000	100	CH	IS	0.5744434693497718
10000	100	CH	WIS	0.9999780957743771
10000	100	AM	IS	0.003886623343414648
10000	100	AM	WIS	6.739999498139859e-05
10000	110	CH	IS	0.6312637534718224
10000	110	CH	WIS	0.9999916324235008
10000	110	AM	IS	0.004272110948610532
10000	110	AM	WIS	7.40849398190857e-05
10000	120	CH	IS	0.6879719160493025
10000	120	CH	WIS	1.0000039081588603
10000	120	AM	IS	0.00465702703765175
10000	120	AM	WIS	8.07599736923903e-05
10000	130	CH	IS	0.7445682888763254
10000	130	CH	WIS	1.0000152119031398
10000	130	AM	IS	0.0050413730213446604
10000	130	AM	WIS	8.742512106652e-05
10000	140	CH	IS	0.8010532024387773
10000	140	CH	WIS	1.0000257500407812
10000	140	AM	IS	0.02412651563814952
10000	140	AM	WIS	9.408040632286063e-05
10000	150	CH	IS	0.8574269859207603
10000	150	CH	WIS	1.0000356739291898
10000	150	AM	IS	0.08053257087296603
10000	150	AM	WIS	0.00010072585375819898
10000	160	CH	IS	0.9136899672109964
10000	160	CH	WIS	1.000045097093773
10000	160	AM	IS	0.1368277790142665
10000	160	AM	WIS	0.00010736148758561104
10000	170	CH	IS	0.9698424729091936
10000	170	CH	WIS	1.0000541063544346
10000	170	AM	IS	0.19301246676675884
10000	170	AM	WIS	0.00011398733193512811
10000	180	CH	IS	1.0258848283323763
10000	180	CH	WIS	1.0000627692434094
10000	180	AM	IS	0.2490869595520922
10000	180	AM	WIS	0.00012060341085340376
10000	190	CH	IS	1.0818173575211745
10000	190	CH	WIS	1.0000711390807258
10000	190	AM	IS	0.30505158151520795
10000	190	AM	WIS	0.000127209748304824
10000	200	CH	IS	1.137640383246081
10000	200	CH	WIS	1.000079258527092
10000	200	AM	IS	0.3609066555305687
10000	200	AM	WIS	0.00013380636817150737
10000	210	CH	IS	1.1933542270136686
10000	210	CH	WIS	1.0000871621217118
10000	210	AM	IS	0.41665250320834946
10000	210	AM	WIS	0.00014039329425330482
10000	220	CH	IS	1.2489592090727708
10000	220	CH	WIS	1.0000948781279964
10000	220	AM	IS	0.47228944490066016
10000	220	AM	WIS	0.00014697055026891004
10000	230	CH	IS	1.3044556484206278
10000	230	CH	WIS	1.0001024298978012
10000	230	AM	IS	0.5278177997076984
10000	230	AM	WIS	0.0001535381598558594
10000	240	CH	IS	1.3598438628089957
10000	240	CH	WIS	1.000109836894617
10000	240	AM	IS	0.5832378854838117
10000	240	AM	WIS	0.00016009614657064297
10000	250	CH	IS	1.41512416875022
10000	250	CH	WIS	1.0001171154712034
10000	250	AM	IS	0.6385500188436124
10000	250	AM	WIS	0.00016664453388937073
10000	260	CH	IS	1.4702968815232729
10000	260	CH	WIS	1.000124279467773
10000	260	AM	IS	0.6937545151680139
10000	260	AM	WIS	0.00017318334520821654
10000	270	CH	IS	1.5253623151797573
