K	CI	Weighting	J_pi_b	J_pi_e	J_hat_pi_e
100	CH	WIS	0.533240225762886	0.523964383547833	0.26065313685223906
200	CH	WIS	0.533240225762886	0.523964383547833	0.2841303959878929
300	CH	WIS	0.533240225762886	0.523964383547833	0.3053145639680574
400	CH	WIS	0.533240225762886	0.523964383547833	0.3245277778354794
500	CH	WIS	0.533240225762886	0.523964383547833	0.3420345296870585
600	CH	WIS	0.533240225762886	0.523964383547833	0.3580540086804126
700	CH	WIS	0.533240225762886	0.523964383547833	0.37276940228218786
800	CH	WIS	0.533240225762886	0.523964383547833	0.3863349963109283
900	CH	WIS	0.533240225762886	0.523964383547833	0.3988816584650869
1000	CH	WIS	0.533240225762886	0.523964383547833	0.41052111902178073
1100	CH	WIS	0.533240225762886	0.523964383547833	0.4213493456681848
1200	CH	WIS	0.533240225762886	0.523964383547833	0.4314492284925155
1300	CH	WIS	0.533240225762886	0.523964383547833	0.44089273422462505
1400	CH	WIS	0.533240225762886	0.523964383547833	0.44974264822315574
1500	CH	WIS	0.533240225762886	0.523964383547833	0.4580539934053362
1600	CH	WIS	0.533240225762886	0.523964383547833	0.4658751939211609
1700	CH	WIS	0.533240225762886	0.523964383547833	0.4732490355843357
1800	CH	WIS	0.533240225762886	0.523964383547833	0.48021346330259485
1900	CH	WIS	0.533240225762886	0.523964383547833	0.4868022468940564
2000	CH	WIS	0.533240225762886	0.523964383547833	0.4930455399541501
2100	CH	WIS	0.533240225762886	0.523964383547833	0.498970351292914
2200	CH	WIS	0.533240225762886	0.523964383547833	0.5046009444943416
2300	CH	WIS	0.533240225762886	0.523964383547833	0.509959178066338
2400	CH	WIS	0.533240225762886	0.523964383547833	0.5150647962377292
2500	CH	WIS	0.533240225762886	0.523964383547833	0.5199356785592364
2600	CH	WIS	0.533240225762886	0.523964383547833	0.5245880549601052
2700	CH	WIS	0.533240225762886	0.523964383547833	0.5290366917123381
2800	CH	WIS	0.533240225762886	0.523964383547833	0.5332950527927667
2900	CH	WIS	0.533240225762886	0.523964383547833	0.5373754403582465
3000	CH	WIS	0.533240225762886	0.523964383547833	0.5412891174215944
